id,student_id,module_id,attendance_percentage,internal_marks,assignment_marks,quiz_marks,midterm_marks,final_exam_marks,total_marks,grade,result
1,1,84,99.16,28.78,20.38,13.66,33.45,71.59,79.51,A,Pass
2,1,83,84.32,36.88,19.75,14.75,43.53,56.94,82.05,A+,Pass
3,1,81,93.6,30.38,21.55,14.14,42.75,55.87,78.33,A,Pass
4,1,85,95.25,40.0,23.07,19.4,42.97,58.39,87.67,A+,Pass
5,2,68,42.38,33.36,10.91,9.69,31.13,45.77,62.81,B+,Pass
6,2,70,47.16,28.27,17.21,12.54,34.73,57.45,71.47,A,Pass
7,2,67,49.29,30.07,18.96,17.45,22.98,54.01,68.04,B+,Pass
8,2,65,44.94,28.55,20.32,11.11,35.97,56.52,72.32,A,Pass
9,2,66,48.66,24.06,11.84,8.55,27.73,48.67,57.62,B,Pass
10,2,69,45.06,30.27,14.74,8.82,32.06,58.47,68.76,B+,Pass
11,3,23,85.6,29.42,18.74,17.1,38.97,63.03,79.65,A,Pass
12,3,30,89.5,31.64,22.7,19.55,50.0,66.64,90.77,O,Pass
13,3,24,85.11,37.56,18.14,12.9,36.74,50.18,74.27,A,Pass
14,3,25,79.71,39.69,23.04,19.27,45.18,67.34,92.71,O,Pass
15,3,29,78.04,29.43,22.33,10.24,28.1,57.95,69.86,B+,Pass
16,4,33,68.03,32.67,19.21,14.9,42.39,56.12,78.85,A,Pass
17,4,40,68.62,29.22,18.29,13.55,44.59,54.11,76.25,A,Pass
18,4,38,67.12,25.15,16.79,18.23,36.04,47.47,68.58,B+,Pass
19,4,36,63.02,26.68,11.32,18.11,29.59,44.93,62.69,B+,Pass
20,5,33,71.18,26.87,15.43,7.01,29.4,45.68,59.13,B,Pass
21,5,36,64.11,24.59,18.72,11.71,30.82,49.89,64.33,B+,Pass
22,5,38,72.72,22.99,13.43,12.57,25.03,54.9,61.29,B+,Pass
23,5,34,71.07,26.18,14.31,5.04,27.67,35.74,51.85,B,Pass
24,5,37,70.43,27.03,18.78,10.9,30.53,56.46,68.09,B+,Pass
25,5,35,72.93,31.8,20.75,15.97,43.75,53.57,79.06,A,Pass
26,6,91,71.62,30.64,18.6,16.37,33.97,48.05,70.35,A,Pass
27,6,81,63.34,32.18,20.69,12.36,43.34,51.36,76.18,A,Pass
28,6,82,67.7,29.07,15.83,9.15,35.17,47.97,65.41,B+,Pass
29,6,88,72.51,32.61,22.73,16.13,42.25,52.16,78.93,A,Pass
30,6,85,72.35,28.31,21.08,17.02,40.75,43.08,71.57,A,Pass
31,6,92,64.06,21.5,17.31,11.62,31.29,43.26,59.31,B,Pass
32,7,98,79.45,36.06,21.68,10.78,40.57,66.0,83.18,A+,Pass
33,7,100,72.69,26.44,17.2,11.48,33.06,52.66,66.94,B+,Pass
34,7,101,75.02,21.77,9.38,13.1,30.47,44.91,57.38,B,Pass
35,7,102,76.26,27.68,21.28,17.87,31.87,61.45,75.9,A,Pass
36,7,97,77.71,28.74,17.02,15.51,32.77,58.91,72.81,A,Pass
37,7,99,71.91,31.74,19.11,17.22,45.88,46.4,76.72,A,Pass
38,8,83,55.39,24.81,11.77,4.22,27.0,36.0,49.53,C,Pass
39,8,86,56.69,25.98,9.67,5.42,27.79,51.68,57.58,B,Pass
40,8,82,51.5,17.52,11.79,3.86,23.05,35.51,43.5,C,Pass
41,8,84,52.19,17.42,4.26,6.02,26.03,41.54,45.83,C,Pass
42,9,90,39.97,19.3,10.79,7.86,30.24,40.05,51.7,B,Pass
43,9,83,35.84,22.14,15.3,6.36,23.9,31.19,46.87,C,Pass
44,9,81,45.69,27.44,11.7,12.31,29.87,39.03,57.71,B,Pass
45,9,84,41.01,26.35,13.61,13.68,32.57,54.13,67.01,B+,Pass
46,9,85,47.23,29.19,15.34,6.26,39.07,61.79,72.23,A,Pass
47,9,89,37.62,27.75,17.15,4.75,28.41,43.79,57.75,B,Pass
48,10,68,79.93,24.99,17.63,15.65,27.16,43.46,61.23,B+,Pass
49,10,72,90.7,30.59,21.96,19.85,27.4,63.52,77.35,A,Pass
50,10,67,80.06,33.2,21.47,12.28,37.8,57.49,77.05,A,Pass
51,10,74,84.25,30.29,20.42,8.81,17.17,54.59,61.78,B+,Pass
52,10,70,90.32,31.66,17.23,18.15,45.06,54.08,79.56,A,Pass
53,11,23,52.87,13.02,18.52,13.73,17.23,46.68,51.18,B,Pass
54,11,19,53.74,27.97,16.11,15.06,38.73,41.82,66.84,B+,Pass
55,11,29,55.18,22.37,14.36,9.72,22.02,47.24,54.85,B,Pass
56,11,28,52.21,19.76,13.69,8.68,28.55,46.83,55.82,B,Pass
57,11,27,56.63,22.35,12.26,4.7,28.47,43.96,53.18,B,Pass
58,12,4,59.56,26.13,9.59,13.53,50.0,62.85,78.0,A,Pass
59,12,5,60.33,25.87,21.62,20.0,34.68,52.91,73.61,A,Pass
60,12,3,62.82,33.31,20.23,17.41,29.06,54.36,73.36,A,Pass
61,12,1,66.35,24.27,12.39,8.16,35.86,43.72,59.51,B,Pass
62,13,75,60.54,28.81,15.94,12.46,40.72,60.12,75.42,A,Pass
63,13,80,59.37,32.24,12.53,14.53,31.33,49.45,67.13,B+,Pass
64,13,71,61.98,28.28,21.43,20.0,49.75,45.24,78.7,A,Pass
65,13,74,60.75,29.49,16.45,15.48,30.14,53.05,68.89,B+,Pass
66,13,72,66.62,24.47,20.77,9.41,32.32,61.68,70.19,A,Pass
67,13,79,61.69,27.68,20.79,17.24,43.49,45.75,73.87,A,Pass
68,14,33,47.03,23.49,15.9,13.05,27.73,30.6,52.78,B,Pass
69,14,38,40.9,27.62,16.4,11.72,29.09,59.49,68.53,B+,Pass
70,14,41,49.71,27.13,22.13,14.82,32.51,49.03,68.97,B+,Pass
71,14,34,53.44,30.47,19.38,12.88,31.48,52.07,69.47,B+,Pass
72,15,65,72.97,19.27,17.95,13.66,23.7,44.27,56.16,B,Pass
73,15,66,59.28,22.96,12.32,11.63,38.45,55.32,67.27,B+,Pass
