Student_ID,Gender,Age,Class,Attendance,Study_Hours,Assignments_Completed,Quiz_Score,Midterm_Marks,Final_Exam_Marks,Internet_Access,Parental_Education,Extra_Curricular,Sleep_Hours,Previous_Grade,Performance
1,Male,18,10,92.0,5.0,8.0,88.0,78.0,85.0,Yes,Bachelor,Yes,7.0,A,Good
2,Female,19,11,87.0,7.0,7.0,76.0,82.0,79.0,No,High School,No,6.0,B,Average
3,Female,17,10,91.0,6.0,8.0,90.0,80.0,88.0,Yes,Bachelor,Yes,8.0,A,Excellent
4,Male,18,12,78.0,4.0,5.0,70.0,68.0,74.0,Yes,Secondary,No,6.0,C,Poor
5,Other,20,11,84.0,6.0,7.0,80.0,75.0,82.0,Yes,Master,Yes,7.0,B,Good
6,Female,18,10,95.0,8.0,9.0,92.0,88.0,90.0,Yes,Bachelor,Yes,8.0,A,Excellent
7,Male,19,11,81.0,5.0,6.0,74.0,72.0,76.0,No,High School,No,6.0,C,Average
8,Female,17,10,90.0,7.0,8.0,87.0,84.0,86.0,Yes,Master,Yes,7.0,B,Good
9,Male,18,12,76.0,3.0,4.0,68.0,65.0,70.0,No,Secondary,No,5.0,D,Poor
10,Other,19,11,83.0,6.0,7.0,79.0,77.0,80.0,Yes,Bachelor,Yes,7.0,C,Average
11,Male,17,10,93.0,7.0,8.0,89.0,86.0,89.0,Yes,Master,Yes,8.0,A,Excellent
12,Female,18,11,79.0,5.0,6.0,72.0,71.0,75.0,No,High School,No,6.0,C,Average
13,Male,20,12,88.0,6.0,7.0,82.0,80.0,84.0,Yes,Secondary,Yes,7.0,B,Good
14,Female,19,10,85.0,6.0,7.0,81.0,79.0,83.0,Yes,Bachelor,No,7.0,B,Good
15,Other,18,11,77.0,4.0,5.0,69.0,66.0,72.0,No,Master,Yes,6.0,C,Poor
16,Male,17,10,94.0,8.0,9.0,91.0,89.0,92.0,Yes,Bachelor,Yes,8.0,A,Excellent
17,Female,18,11,82.0,5.0,6.0,75.0,74.0,78.0,Yes,High School,No,6.0,C,Average
18,Male,19,12,86.0,6.0,7.0,84.0,81.0,85.0,Yes,Secondary,Yes,7.0,B,Good
19,Female,17,10,89.0,7.0,8.0,86.0,83.0,87.0,Yes,Master,Yes,8.0,A,Excellent
20,Other,20,11,74.0,4.0,5.0,67.0,64.0,71.0,No,Bachelor,No,5.0,D,Poor
21,Male,16,11,66.0,2.5,1.5,84.4,72.7,75.4,Yes,High School,Yes,5.3,A,Poor
22,Other,18,12,64.9,7.5,12.1,40.4,88.3,81.9,No,Bachelor,Yes,5.3,C,Poor
23,Male,16,12,59.4,10.3,9.1,88.4,83.8,72.2,No,High School,No,9.0,C,Poor
24,Other,18,9,57.1,3.5,4.3,44.8,54.0,46.1,No,Master,No,5.0,C,Poor
25,Other,18,11,86.6,8.5,1.1,78.1,72.0,54.7,No,Master,No,9.9,B,Poor
26,Male,20,10,92.0,9.9,6.0,44.0,94.8,74.0,No,Secondary,No,6.4,D,Poor
27,Female,17,10,66.1,7.2,3.9,75.1,93.9,64.0,Yes,Secondary,No,4.5,A,Poor
28,Male,16,10,90.6,5.6,1.0,62.9,99.8,71.7,Yes,High School,No,8.6,C,Poor
29,Female,16,12,62.1,1.0,10.8,83.2,98.3,85.7,Yes,Bachelor,Yes,4.9,B,Poor
30,Other,15,11,77.0,2.2,5.4,99.1,88.4,54.4,Yes,High School,Yes,8.4,A,Poor
31,Male,17,12,97.6,2.8,7.9,76.4,97.9,95.7,Yes,Bachelor,No,10.0,C,Poor
32,Other,22,12,60.4,3.5,5.1,75.3,53.8,53.2,Yes,High School,Yes,4.4,A,Poor
33,Male,20,10,67.5,6.3,8.1,83.4,92.9,74.6,Yes,Master,No,5.1,A,Poor
34,Female,21,12,73.5,10.5,0.8,79.2,78.8,43.6,No,High School,Yes,5.1,D,Poor
35,Female,17,10,67.5,3.7,13.8,66.6,91.7,73.0,Yes,High School,Yes,9.6,B,Poor
36,Female,17,12,76.7,10.5,13.5,49.9,40.1,63.4,No,Bachelor,No,8.2,D,Poor
37,Male,17,11,64.8,1.6,11.0,43.7,58.8,43.0,No,Secondary,Yes,9.8,A,Poor
38,Male,17,9,85.4,3.6,1.8,93.4,54.8,75.7,Yes,Master,No,9.6,B,Poor
39,Male,20,11,72.8,8.4,4.5,59.0,85.1,44.4,No,High School,Yes,7.2,C,Poor
40,Female,17,9,94.6,5.1,2.4,90.0,82.2,76.7,Yes,Bachelor,Yes,9.6,B,Poor
41,Male,19,9,88.4,2.7,4.2,52.6,60.6,81.2,No,Master,No,9.4,A,Poor
42,Other,16,12,92.3,1.5,5.0,47.8,98.8,49.7,No,Master,Yes,4.7,B,Poor
43,Female,15,10,74.3,1.5,5.5,96.0,98.3,42.4,No,Secondary,Yes,8.0,C,Poor
44,Other,21,10,96.7,3.6,2.4,88.0,50.6,64.7,Yes,Bachelor,No,8.8,B,Poor
45,Male,19,9,72.2,1.4,7.1,52.0,95.1,61.0,Yes,Secondary,Yes,8.0,D,Poor
46,Female,20,9,98.5,4.1,9.6,64.0,98.9,72.2,Yes,High School,No,5.1,C,Poor
47,Male,15,12,70.6,9.7,6.5,99.1,46.9,94.0,Yes,Bachelor,Yes,8.3,A,Poor
48,Female,18,12,58.1,8.3,5.0,58.8,90.9,83.2,No,Bachelor,No,6.0,C,Poor
49,Male,17,12,84.9,5.2,11.2,50.4,74.1,64.4,Yes,Bachelor,No,5.3,C,Poor
50,Female,22,12,85.4,6.6,11.9,97.6,84.2,79.5,No,Bachelor,Yes,8.9,B,Poor
51,Male,19,10,61.6,1.5,14.8,76.7,86.1,67.3,Yes,Master,No,6.4,B,Poor
52,Male,15,12,64.8,9.8,10.4,67.9,73.4,95.0,Yes,Master,Yes,8.8,C,Poor
53,Other,22,12,92.4,7.0,13.5,84.6,68.5,55.6,Yes,Bachelor,No,7.8,C,Poor
54,Male,22,11,65.6,4.7,13.4,44.8,49.0,63.0,Yes,Secondary,Yes,6.5,C,Poor
